message_id,timestamp_iso,author_name,author_nickname,week_no,raw_text,attachment_files,attachment_count
1317089895755288597,2024-12-13T12:25:01.495+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-3bbfe8a10052643a.png,1
1317089955461468192,2024-12-13T12:25:15.73+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-57e4d2ee86f75410.png,1
1317090005671215124,2024-12-13T12:25:27.701+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-faadeb96ea24567d.png,1
1317837030960533656,2024-12-15T13:53:52.409+01:00,markokrizman.,markokrizman.,,Baltazar lepo napreduje 😃,,0
1317845623738728539,2024-12-15T14:28:01.087+01:00,markokrizman.,markokrizman.,,,image0-35611f1c040b8424.jpg,1
1317930358653845516,2024-12-15T20:04:43.465+01:00,alenokc,AlenOKC,12,"12. trening: Blokade za C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-ba2b8e94aea4ddbf.png,1
1319988907718344735,2024-12-21T12:24:39.808+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],14,"14. trening: Skok za C/KC, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1319988996796977205,2024-12-21T12:25:01.046+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-f7147af37a7405b8.png,1
1319989103898660896,2024-12-21T12:25:26.581+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-21b6aaece36c4f9c.png,1
1319989157543542863,2024-12-21T12:25:39.371+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-704ca26a28bbacea.png,1
1322165606849708054,2024-12-27T12:34:05.322+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Evo, stari smo 20 oz. 19, nova runda reportov.",,0
1322165649815900235,2024-12-27T12:34:15.566+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],15,"15. trening: Skok za C/KC, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1322165726920048682,2024-12-27T12:34:33.949+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-6efa1eeb578b2322.png,1
1322165774780989521,2024-12-27T12:34:45.36+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-6491d7b3043afb5d.png,1
1322165824995332109,2024-12-27T12:34:57.332+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-47cd03202dab4b86.png,1
1322506225258074193,2024-12-28T11:07:35.079+01:00,alenokc,AlenOKC,14,"14. trening: Skok za KC/C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-074058d4829fb656.png,1
1324705289899081748,2025-01-03T12:45:52.946+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],16,"16. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1324705376142229567,2025-01-03T12:46:13.508+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-8e538e94c2a623fd.png,1
1324705420920750081,2025-01-03T12:46:24.184+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-d120df1c6eb8798c.png,1
1324705478604754964,2025-01-03T12:46:37.937+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-5ce8b00b3c59f7f8.png,1
1327238415271460885,2025-01-10T12:31:37.098+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],17,"17. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1327247987944194060,2025-01-10T13:09:39.401+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-18c77e071a1c4f95.png,1
