player,player_id,author,skill,from_level,to_level,delta,week_from,week_to,date_from,date_to,weeks_in_interval,training_keys,training_names,clean_interval,from_baseline_week0,source
Jure Plesavec,53897751,pjtr576,sb,8,9,1,3,4,2024-10-04,2024-10-11,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,js,6,7,1,4,5,2024-10-11,2024-10-18,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,5,6,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,sb,9,10,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,rb,6,7,1,7,8,2024-11-01,2024-11-08,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,rb,7,8,1,8,9,2024-11-08,2024-11-15,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,id,6,7,1,9,10,2024-11-15,2024-11-22,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,sb,10,11,1,9,10,2024-11-15,2024-11-22,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,sb,11,12,1,11,12,2024-11-29,2024-12-06,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,7,8,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,is,2,3,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,od,5,6,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,rb,8,9,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,rb,9,10,1,14,15,2024-12-21,2024-12-27,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,sb,12,13,1,15,16,2024-12-27,2025-01-03,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,8,9,1,17,18,2025-01-10,2025-01-17,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,sb,13,14,1,18,19,2025-01-17,2025-01-26,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,rb,10,11,1,20,21,2025-01-31,2025-02-07,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,sb,14,15,1,20,21,2025-01-31,2025-02-07,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,9,10,1,21,22,2025-02-07,2025-02-14,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,sb,15,16,1,23,24,2025-02-22,2025-02-28,1,29,Shot Blocking,True,False,series
